feature,importance
month,0.33958789814750107
day_of_week,0.30528533738074404
year,0.2710729502317309
hour,0.08664673828096509
iot_temperature,0.05442071699884369
historical_demand,0.05303714053526476
fuel_consumption_rate,0.05050224298595397
eta_variation_hours,0.048596032516789296
order_fulfillment_status,0.044997170361242754
loading_unloading_time,0.04307267413276194
cargo_condition_status,0.04115587188675052
port_congestion_level,0.03999787312176865
traffic_congestion_level,0.0397780463486341
shipping_costs,0.039396311906357465
fatigue_monitoring_score,0.03924368051507457
is_weekend,0.03896495872282162
warehouse_inventory_level,0.03754405001885473
route_risk_level,0.03714996277306891
supplier_reliability_score,0.03704345296457944
handling_equipment_availability,0.0360626696850608
lead_time_days,0.03590180030696778
vehicle_gps_latitude,0.03503546719379355
customs_clearance_time,0.03432884221351317
vehicle_gps_longitude,0.032639496585597595
driver_fatigue_interaction,0.03205413677516746
driver_behavior_score,0.03173032025613559
traffic_weather_interaction,0.03151051289608591
inventory_fulfillment_ratio,0.030730822592493812
cost_per_hour,0.03060233563738707
weather_condition_severity,0.03040142471057494
route_port_risk,0.0234713668493451
delivery_pressure,0.010225837361298522
high_risk_indicator,0.008936175644164162
