,High Risk,Low Risk,Moderate Risk
month,0.8972995293305688,0.06724480702899477,0.05421935808294117
day_of_week,0.8105221686296618,0.05649312479159648,0.04884071872097284
year,0.5345342573666209,0.13022359297657396,0.14846100035199833
hour,0.1595755883382682,0.06252103096902695,0.03784359553559994
iot_temperature,0.06216412166546365,0.06822729697915815,0.03287073235190937
historical_demand,0.06582541149036235,0.05679067790397625,0.036495332211455934
fuel_consumption_rate,0.061989770067236445,0.05438212315508759,0.035134835735538196
eta_variation_hours,0.04337290094241742,0.04426739668273168,0.058147799925219186
order_fulfillment_status,0.0403045769000003,0.04418485843650376,0.05050207574722422
loading_unloading_time,0.020151888047530438,0.08110466630406289,0.027961468046692455
cargo_condition_status,0.030102892363405135,0.06287650402028858,0.030488219276557843
port_congestion_level,0.04673473644886857,0.049731224233325606,0.023527658683111748
traffic_congestion_level,0.0179901392704251,0.06005118177854656,0.041292817996930666
shipping_costs,0.03876546132476753,0.044480643947341636,0.03494283044696329
fatigue_monitoring_score,0.03569742079451975,0.05160093999695648,0.030432680753747433
